shop_name,address,latitude,longitude,city,postcode
audio2000 saint vincent de tyrosse,1 Chemin de Mattecu/Secteur Grand Tourren,46.698035,4.873452,Varennes-le-Grand,71240
audio2000 saint,-AVOLD 28 rue de la piscine,50.272494,1.667336,Rue,80120
audio2000 saint,-CERE 22 Boulevard Carnot,49.985028,2.755802,Carnoy,80300
audio2000 saint,-CLAIR DU RHONE 67 rue du Stade Pôle Médical Yvan Esson,48.961706,-0.459887,Esson,14220
audio2000 saint,-FLOUR 15 place de la Liberté,48.942318,3.765014,Corribert,51270
audio2000 saint,-OMER 6 rue Carnot,49.985028,2.755802,Carnoy,80300
audio2000 saint,-QUAI PERROS ZA De Kérigant,48.827636,-3.485577,Perros-Guirec,22700
audio2000 saint,-RENAN 10 Rue Saint Yves,46.057602,-1.056229,Yves,17340
audio2000 sarcelles,Avenue de la Division Leclerc Centre commercial My Place,48.252341,-0.776378,Placé,53240
audio2000 sarzeau,47 rue Père Marie Joseph Coudrin,50.272494,1.667336,Rue,80120
audio2000 seloncourt,Maison médicale 138 rue du général Leclerc,48.706571,4.663881,Vauclerc,51300
audio2000 soissons,11 rue du Commerce,48.241475,-0.619973,Commer,53470
audio2000 strasbourg,6 Avenue des Vosges,45.960553,5.498048,Évosges,01230
audio2000 surgeres,Centre commercial Leclerc rue Jean-Philippe Rameau,48.044643,3.322132,Armeau,89500
audio2000 taravao,BP 40026 Route de Varao PK 60,45.922385,-0.424521,Varaize,17400
audio2000 thionville,2 place de Turenne / Rue du Manège,45.053181,1.579997,Turenne,19500
audio2000 toulouse,35 Avenue des Minimes,43.821152,4.336594,Nîmes,30900
audio2000 tournefeuille,64 boulevard Vincent Auriol,43.375161,5.630015,Auriol,13390
audio2000 tulle,60 Avenue Victor Hugo tulle,45.26302,1.762326,Tulle,19000
audio2000 urrugne,210 Route Départementale 810,43.862574,1.269097,Dieupentale,82170
audio2000 valdahon,7 rue de la Gare,43.616709,1.627493,Gauré,31590
audio2000 valognes,5 rue de Poterie,49.227136,-0.775524,Noron-la-Poterie,14490
audio2000 vannes,114 Avenue de la Marne,46.999377,-1.760872,La Marne,44270
audio2000 varennes sur allier,96 avenue Chazeuil,47.558511,5.270327,Chazeuil,21260
audio2000 vaureal,6 Place du Rendez-vous ZAC de la Russie vaureal,49.033333,2.02094,Vauréal,95490
audio2000 vendome,20 rue du Change,46.932408,4.633269,Change,21340
audio2000 vertou,Place du Beau Verger,48.070671,-1.932779,Le Verger,35160
audio2000 villenave d,'ORNON 65 route de léognan,44.726509,-0.594073,Léognan,33850
audio2000 villers cotterets,6 Place du Docteur Mouflier,49.922279,1.744268,Mouflières,80140
audio2000 vincennes,61 rue de Fontenay,48.219043,6.594439,Fontenay,88600
audio2000 vitrolles,Centre commercial CARREFOUR vitrolles,43.430771,5.280804,Vitrolles,13127
audio2000 voiron,13 Avenue Dugueyt Jouvin,50.578912,3.188373,Bouvines,59830
audio2000 wasselonne,5 place du Général Leclerc,47.918771,1.087602,La Ville-aux-Clercs,41160
audio2000 yerres,15 rue Marc Sangnier,46.092904,6.503381,Marignier,74970
