address,latitude,longitude,city,postcode
C.C. Nicetoile - 24 avenue Jean Médecin NICE FR,42.462065,1.937261,Ur,66760
C.C. Cap 3000 NICE FR,42.462065,1.937261,Ur,66760
C.C. Auchan - La Trinité NICE FR,42.462065,1.937261,Ur,66760
34 boulevard Gambetta 30000 NÎMES FR,43.840311,4.359179,Nîmes,30000
Place de la brèche - 7 avenue Jacques Bujault 79000 NIORT FR,46.322267,-0.456912,Niort,79000
10 Rue Eugène Galbrun 94130 NOGENT-SUR-MARNE FR,48.83837,2.487998,Nogent-sur-Marne,94130
40 rue Saint Martin 84100 ORANGE FR,44.136632,4.805812,Orange,84100
Rue Anthelme Brillat Savarin - ZA Expo Sud - rue des Chèvres Noires ORLEANS FR,47.87421,1.911459,Orléans,45100
26 place du Général de Gaulle ORLEANS FR,47.901663,1.902982,Orléans,45000
103-117 rue des Frères Lumière ORLEANS FR,42.937677,2.193983,Fa,11260
C.C. de l'Oseraie - Chemin du Poirier 95520 OSNY FR,49.075903,2.083359,Osny,95520
74 Grande Rue 69600 OULLINS FR,45.716318,4.809559,Oullins,69600
1 avenue Secrétan 75019 PARIS FR,48.882452,2.370712,Paris,75019
112 rue Jean de La Fontaine 75016 PARIS FR,48.848775,2.265638,Paris,75016
102 Rue Ordener 75018 PARIS FR,48.893048,2.341322,Paris,75018
104 avenue des Champs Elysées PARIS-8 FR,48.871987,2.30182,Paris,75008
82/84 boulevard Haussmann PARIS-8 FR,46.91456,4.633766,Paris-l'Hôpital,71150
57 bis rue de Tocqueville PARIS-8 FR,48.885625,2.309864,Paris,75017
98 Avenue de Clichy PARIS-8 FR,48.889176,2.322778,Paris,75017
5 rue Pierre Brossolette PARIS-8 FR,48.841994,2.347079,Paris,75005
112 rue Jean de La Fontaine PARIS-8 FR,48.848775,2.265638,Paris,75016
102 Rue Ordener PARIS-8 FR,48.893048,2.341322,Paris,75018
50 avenue du Général Leclerc PARIS-8 FR,48.830512,2.328908,Paris,75014
138 rue la Fayette PARIS-8 FR,48.878544,2.354509,Paris,75010
C.C. Les 4 Temps PARIS-8 FR,48.856617,2.35224,Paris,75000
57 bis rue de Tocqueville 75017 PARIS FR,48.885625,2.309864,Paris,75017
242 rue des Pyrénées 75020 PARIS FR,48.867978,2.396238,Paris,75020
128 rue du Faubourg Saint Antoine 75012 PARIS FR,48.85061,2.378663,Paris,75012
50 avenue du Général Leclerc 75014 PARIS FR,48.830512,2.328908,Paris,75014
95 rue Petit 75019 PARIS FR,48.886381,2.392424,Paris,75019
98 Avenue de Clichy 75017 PARIS FR,48.889176,2.322778,Paris,75017
