shop_name,address,latitude,longitude,city,postcode
Audioprothésiste  BOURCEFRANC-LE-CHAPUS Optical Center,ZAC du Riveau 17560 Bourcefranc le chapus,45.837793,-1.13407,Bourcefranc-le-Chapus,17560
Audioprothésiste PONT-À-MOUSSON Optical Center,123 route de Briey 54700 Pont a mousson,48.91908,6.037907,Pont-à-Mousson,54700
Audioprothésiste EURALILLE Optical Center,"100, Avenue Willy Brandt 59777 Euralille",49.569491,-1.725135,Virandeville,50690
Audioprothésiste LIMOUX Optical Center,1 avenue François Clamens 11300 Limoux,43.065153,2.216397,Limoux,11300
Audioprothésiste LE PONT-DE-BEAUVOISIN Optical Center,Route départementale 1006 73330 Le pont de beauvoisin,45.536011,5.672981,Le Pont-de-Beauvoisin,73330
Audioprothésiste GANNAT Optical Center,3 avenue des Portes Occitanes 03800 Gannat,46.082533,3.200934,Gannat,03800
Audioprothésiste NEUFCHÂTEL-EN-BRAY Optical Center,rue du Moulin 76270 Neufchatel en bray,49.731106,1.435489,Neufchâtel-en-Bray,76270
Audioprothésiste ARRAS - CENTRE-VILLE Optical Center,23-25 rue Ernestale 62000 Arras,50.289764,2.773902,Arras,62000
Audioprothésiste ARGELÈS-SUR-MER Optical Center,rue des Hérons 66700 Argeles sur mer,42.55686,3.012085,Argelès-sur-Mer,66700
Audioprothésiste SCEAUX  Optical Center,81 rue Houdan 92330 Sceaux,48.778878,2.289211,Sceaux,92330
Audioprothésiste CHÂTEAU-DU-LOIR Optical Center,49 rue Nationale 72500 Vouvray sur loir,47.688038,0.430525,Montval-sur-Loir,72500
Audioprothésiste SAINT-JACQUES-DE-LA-LANDE Optical Center,139 rue du Temple de Blosne 35136 Saint-jacques-de-la-lande,48.084928,-1.70738,Saint-Jacques-de-la-Lande,35136
Audioprothésiste RAYMOND POINCARÉ - 16ÈME Optical Center,95 av Raymond Poincaré 75016 Paris,48.870833,2.28501,Paris,75116
Audioprothésiste MÛRS-ERIGNÉ Optical Center,5 rue Aimé de Soland 49610 Murs erigne,47.399073,-0.531475,Mûrs-Erigné,49610
Audioprothésiste MIMIZAN Optical Center,52 Avenue de Bordeaux 40200 Mimizan,44.205709,-1.22133,Mimizan,40200
Audioprothésiste SAINTE-MAXIME Optical Center,"114, Avenue Mathias 83120 Sainte-maxime",43.33274,6.644982,Sainte-Maxime,83120
Audioprothésiste  NEMOURS Optical Center,113 route de Moret 77140 Nemours,48.278976,2.698723,Nemours,77140
Audioprothésiste LA FERTÉ-BERNARD Optical Center,ZI Les Recollets 72400 La ferte bernard,48.190544,0.654801,La Ferté-Bernard,72400
Audioprothésiste SOYONS Optical Center,Route de Valence 07130 Soyons,44.918925,4.859805,Soyons,07130
Audioprothésiste LA SEYNE Optical Center,2017 av Pierre Auguste Renoir 83500 La seyne sur mer,43.085263,5.858133,La Seyne-sur-Mer,83500
Audioprothésiste ALES Optical Center,Impasse du Gardonnet 30100 Ales,44.110399,4.098916,Alès,30100
Audioprothésiste  DRAGUIGNAN Optical Center,"155, Avenue du Général de Gaulle 83300 Draguignan",43.52855,6.472132,Draguignan,83300
Audioprothésiste MONTPELLIER - JACOU Optical Center,20 rue Louis Breguet 34830 Jacou,43.65917,3.90419,Jacou,34830
Audioprothésiste SARCELLES -MY PLACE Optical Center,3 boulevard François Mitterrand 95200 Sarcelles,48.989466,2.375906,Sarcelles,95200
Audioprothésiste GAP Optical Center,68 avenue Émile Didier 05000 Gap,44.566778,6.095668,Gap,05000
